id,full_name,first_name,last_name,is_active,league
926,Alvin Robertson,Alvin,Robertson,False,NBA
600015,Oscar Robertson,Oscar,Robertson,False,NBA
1926,Ryan Robertson,Ryan,Robertson,False,NBA
77983,Tony Robertson,Tony,Robertson,False,NBA
77984,Rick Robey,Rick,Robey,False,NBA
2774,Bernard Robinson,Bernard,Robinson,False,NBA
997,Chris Robinson,Chris,Robinson,False,NBA
77986,Cliff T. Robinson,Cliff T.,Robinson,False,NBA
361,Clifford Robinson,Clifford,Robinson,False,NBA
764,David Robinson,David,Robinson,False,NBA
1628421,Devin Robinson,Devin,Robinson,False,NBA
1629130,Duncan Robinson,Duncan,Robinson,True,NBA
1944,Eddie Robinson,Eddie,Robinson,False,NBA
77988,Flynn Robinson,Flynn,Robinson,False,NBA
299,Glenn Robinson,Glenn,Robinson,False,NBA
77989,Jackie Robinson,Jackie,Robinson,False,NBA
1554,Jamal Robinson,Jamal,Robinson,False,NBA
381,James Robinson,James,Robinson,False,NBA
1629010,Jerome Robinson,Jerome,Robinson,False,NBA
1629620,Justin Robinson,Justin,Robinson,False,NBA
1683,Larry Robinson,Larry,Robinson,False,NBA
1629011,Mitchell Robinson,Mitchell,Robinson,True,NBA
101126,Nate Robinson,Nate,Robinson,False,NBA
77994,Oliver Robinson,Oliver,Robinson,False,NBA
1631115,Orlando Robinson,Orlando,Robinson,True,NBA
716,Rumeal Robinson,Rumeal,Robinson,False,NBA
203080,Thomas Robinson,Thomas,Robinson,False,NBA
77993,Truck Robinson,Truck,Robinson,False,NBA
77996,Wayne Robinson,Wayne,Robinson,False,NBA
203922,Glenn Robinson III,Glenn,Robinson III,False,NBA
1630526,Jeremiah Robinson-Earl,Jeremiah,Robinson-Earl,True,NBA
77997,Bill Robinzine,Bill,Robinzine,False,NBA
77998,Dave Robisch,Dave,Robisch,False,NBA
1629676,Isaiah Roby,Isaiah,Roby,False,NBA
77999,Red Rocha,Red,Rocha,False,NBA
78000,John Roche,John,Roche,False,NBA
78001,Gene Rock,Gene,Rock,False,NBA
78002,Jack Rocker,Jack,Rocker,False,NBA
1631223,David Roddy,David,Roddy,True,NBA
78003,Guy Rodgers,Guy,Rodgers,False,NBA
23,Dennis Rodman,Dennis,Rodman,False,NBA
200771,Sergio Rodriguez,Sergio,Rodriguez,False,NBA
691,Lou Roe,Lou,Roe,False,NBA
435,Carlos Rogers,Carlos,Rogers,False,NBA
78007,Johnny Rogers,Johnny,Rogers,False,NBA
78008,Marshall Rogers,Marshall,Rogers,False,NBA
915,Rodney Rogers,Rodney,Rogers,False,NBA
964,Roy Rogers,Roy,Rogers,False,NBA
78010,Al Roges,Al,Roges,False,NBA
78011,Ken Rohloff,Ken,Rohloff,False,NBA
202375,Magnum Rolle,Magnum,Rolle,False,NBA
78012,Kenny Rollins,Kenny,Rollins,False,NBA
78013,Phil Rollins,Phil,Rollins,False,NBA
1631157,Ryan Rollins,Ryan,Rollins,True,NBA
78014,Tree Rollins,Tree,Rollins,False,NBA
78015,Lorenzo Romar,Lorenzo,Romar,False,NBA
200765,Rajon Rondo,Rajon,Rondo,False,NBA
399,Sean Rooks,Sean,Rooks,False,NBA
201565,Derrick Rose,Derrick,Rose,False,NBA
147,Jalen Rose,Jalen,Rose,False,NBA
990,Malik Rose,Malik,Rose,False,NBA
78016,Robert Rose,Robert,Rose,False,NBA
78017,Alexander Rosenberg,Alexander,Rosenberg,False,NBA
78018,Lennie Rosenbluth,Lennie,Rosenbluth,False,NBA
78019,Hank Rosenstein,Hank,Rosenstein,False,NBA
78020,Dick Rosenthal,Dick,Rosenthal,False,NBA
2624,Quinton Ross,Quinton,Ross,False,NBA
203082,Terrence Ross,Terrence,Ross,False,NBA
78021,Doug Roth,Doug,Roth,False,NBA
78022,Scott Roth,Scott,Roth,False,NBA
78023,Irv Rothenberg,Irv,Rothenberg,False,NBA
